Konu Adı,2018,2019,2020,2021,2022,2023,2024,2025
Sinir Sistemi,1,–,–,–,–,1,1,1
Endoktrin Sistem,–,1,1,1,–,2,1,–
Duyu Organları,1,–,1,–,1,–,–,–
Destek ve Hareket Sistemi,1,–,–,1,1,–,–,–
Sindirim Sistemi,–,1,1,–,–,1,1,1
Dolaşım Sistemi,1,1,1,1,1,1,1,1
Solunum Sistemi,–,1,1,1,1,1,1,–
Üriner Sistem,1,1,1,–,–,1,–,1
Üreme Sistemi ve Embriyonik Gelişim,–,–,–,–,1,–,–,1
Komünite Ekolojisi,1,–,1,1,1,1,1,1
Popülasyon Ekolojisi,–,–,1,1,1,1,1,–
Nükleik Asitlerin Keşfi ve Önemi,1,1,1,1,1,1,1,1
Genetik Şifre ve Protein Sentezi,1,1,2,1,1,1,1,1
Canlılık ve Enerji,–,–,–,–,–,–,1,–
Fotosentez,1,1,1,1,–,1,–,1
Kemosentez,–,–,–,–,1,–,–,–
Hücresel Solunum,1,1,1,1,1,1,1,1
Bitki Biyolojisi,2,3,–,2,2,–,2,2
Canlılar ve Çevre,1,1,–,1,–,–,–,1
Toplam,13,13,13,13,13,13,13,13
