Konu Adı,2018,2019,2020,2021,2022,2023,2024,2025
Ekosistemlerin Özellikleri ve İşleyişi,–,–,1,–,–,1,–,1
Ekstrem Doğa Olayları,1,1,–,1,1,1,–,–
Küresel İklim Değişikliği ve Doğa Olaylarının Geleceği,–,–,–,–,–,–,–,–
Nüfus Politikaları ve Projeksiyonları,–,–,1,–,–,–,1,–
Şehirler ve Kırsal Yerleşmeler,–,–,1,1,1,1,–,1
Dünyada Doğal Kaynak ve Ekonomi,–,1,–,–,–,–,–,–
"Türkiye’de Tarım, Sanayi, Maden ve Enerji Kaynakları",1,1,–,–,–,1,–,1
"Ekonomi, Şehirleşme ve Göç",1,1,–,–,–,–,1,–
İşlevsel Bölge ve Kalkınma Projeleri,–,–,1,–,–,–,–,–
Hizmet Sektörü ve Ulaşım,–,–,–,–,1,–,–,–
Türkiye’de ve Dünyada Ticaret,1,–,–,–,–,–,–,–
Türkiye’de Turizm,1,–,–,1,–,–,–,1
Kültür Bölgeleri ve Türk Kültürü,–,–,–,–,1,–,1,1
Küreselleşen Dünya,–,–,–,1,–,–,–,–
Uluslararası Örgütler,–,1,1,–,–,1,–,–
Jeopolitik Konum ve Ülkeler Arası Etkileşim,–,–,–,1,1,–,–,1
Çevre Sorunları ve Geri Dönüşüm,1,1,1,1,1,1,2,–
Çevre Sorunlarının Çözümüne Yönelik Yaklaşımlar,–,–,–,–,–,–,1,–
Toplam,6,6,6,6,6,6,6,6
AYT Coğrafya-2 Soru Dağılımı,,,,,,,,
Konu Adı,2018,2019,2020,2021,2022,2023,2024,2025
Ekosistemlerin Özellikleri ve İşleyişi,1,1,1,1,1,1,2,1
Ekstrem Doğa Olayları,–,–,1,1,–,1,1,–
Küresel İklim Değişikliği ve Doğa Olaylarının Geleceği,1,1,1,–,1,1,–,–
Nüfus Politikaları ve Projeksiyonları,–,1,1,–,–,1,–,1
Şehirler ve Kırsal Yerleşmeler,1,1,–,–,1,–,2,–
Dünyada Doğal Kaynak ve Ekonomi,–,–,3,–,1,–,–,1
"Türkiye’de Tarım, Sanayi, Maden ve Enerji Kaynakları",1,–,1,2,–,2,1,–
"Ekonomi, Şehirleşme ve Göç",1,–,1,1,1,1,1,–
İşlevsel Bölge ve Kalkınma Projeleri,1,1,–,1,1,–,1,1
Hizmet Sektörü ve Ulaşım,–,–,–,–,1,–,–,–
Türkiye’de ve Dünyada Ticaret,–,–,–,–,–,–,–,–
Türkiye’de Turizm,1,1,–,–,–,1,–,1
Kültür Bölgeleri ve Türk Kültürü,–,–,–,1,1,1,–,1
Küreselleşen Dünya,1,2,1,–,1,1,1,1
Uluslararası Örgütler,1,–,–,1,–,–,–,–
Jeopolitik Konum ve Ülkeler Arası Etkileşim,–,1,–,1,1,–,1,1
Çevre Sorunları ve Geri Dönüşüm,1,1,1,1,1,1,1,1
Çevre Sorunlarının Çözümüne Yönelik Yaklaşımlar,1,1,–,1,–,–,–,2
Toplam,11,11,11,11,11,11,11,11
