Konu Adı,2018,2019,2020,2021,2022,2023,2024,2025
Sözcükte Anlam,1,1,1,1,1,1,1,1
Cümlede Anlam,1,1,1,1,1,1,1,1
Paragrafta Anlam,2,1,4,4,4,4,4,4
Şiir Bilgisi,2,3,2,2,2,2,1,3
Söz Sanatları,1,1,1,1,2,2,1,1
Metinlerin Sınıflandırılması,2,3,1,2,1,2,1,2
İslamiyet Öncesi ve Geçiş Dönemi Türk Edebiyatı,–,–,1,–,–,1,1,1
Halk Edebiyatı,–,–,1,1,–,2,2,–
Divan Edebiyatı,4,2,5,4,4,3,4,3
Tanzimat Dönemi Türk Edebiyatı,2,2,1,1,1,1,1,1
Serveti-i Fünun ve Fecr-i Ati Dönemi Türk Edebiyatı,1,1,1,–,1,2,2,1
Milli Edebiyat Dönemi Türk Edebiyatı,1,–,1,1,1,–,–,1
Cumhuriyet Dönemi Türk Edebiyatı,5,5,2,3,3,2,3,2
Geleneksel Türk Tiyatrosu,–,1,–,1,1,–,–,1
Masal/Fabl/Destan/Halk Hikayesi,1,2,1,1,1,–,1,1
Edebi Akımlar,1,1,1,1,1,1,1,1
Toplam,24,24,24,24,24,24,24,24
