AYT Tarih 1 Soru Dağılımı,,,,,,,,
Konu Adı,2018,2019,2020,2021,2022,2023,2024,2025
Tarih ve Zaman,1,–,–,–,–,–,–,–
İnsanlığın İlk Dönemleri,–,1,1,1,1,1,1,1
İlk ve Orta Çağlarda Türk Dünyası,1,1,1,1,1,1,1,1
İslam Medeniyetinin Doğuşu,1,1,1,2,1,2,1,1
Türklerin İslamiyeti Kabulü ve İlk Türk İslam Devletleri,1,–,1,–,–,–,1,–
Yerleşme ve Devletleşme Sürecinde Selçuklu Türkiyesi,–,1,–,–,1,–,–,1
Beylikten Devlete Osmanlı Siyaseti (1302-1453),–,–,1,–,1,–,1,1
Devletleşme Sürecinde Savaşçılar ve Askerler,1,1,–,–,–,–,–,–
Dünya Gücü Osmanlı (1453-1595),1,–,–,–,–,1,–,–
Sultan ve Osmanlı Merkez Teşkilatı,–,–,–,–,1,–,–,–
Değişim Çağında Avrupa ve Osmanlı,–,–,–,1,–,–,–,–
Devrimler Çağında Değişen Devlet-Toplum İlişkileri,–,–,–,–,–,–,1,–
Uluslararası İlişkilerde Denge Stratejisi (1774-1914),–,–,–,1,–,1,–,1
XIX ve XX. Yüzyılda Değişen Sosyoekonomik Hayat,–,1,1,–,–,–,–,–
20. Yüzyıl Başlarında Osmanlı Devleti ve Dünya,1,1,1,–,1,1,1,1
Millî Mücadele,2,1,2,2,3,3,2,2
Atatürkçülük ve Türk İnkılabı,1,1,1,1,–,–,1,–
İki Savaş Arasındaki Dönemde Türkiye ve Dünya,–,–,–,–,–,–,–,1
II. Dünya Savaşı Sürecinde Türkiye ve Dünya,–,–,–,–,1,–,–,–
Toplam,10,10,10,10,10,10,10,10
AYT Tarih-2 Soru Dağılımı,,,,,,,,
Konu Adı,2018,2019,2020,2021,2022,2023,2024,2025
Tarih ve Zaman,–,1,1,1,1,1,1,1
İnsanlığın İlk Dönemleri,1,–,–,–,–,–,–,–
İlk ve Orta Çağlarda Türk Dünyası,1,1,1,1,1,1,1,1
Türklerin İslamiyeti Kabulü ve İlk Türk İslam Devletleri,1,1,1,–,1,–,1,1
Yerleşme ve Devletleşme Sürecinde Selçuklu Türkiyesi,–,–,–,–,–,1,–,–
Beylikten Devlete Osmanlı Siyaseti (1302-1453),1,1,–,1,1,–,1,–
Devletleşme Sürecinde Savaşçılar ve Askerler,–,–,–,–,1,1,–,–
Beylikten Devlete Osmanlı Medeniyeti,–,–,–,–,–,–,–,1
Dünya Gücü Osmanlı (1453-1595),1,1,–,2,–,1,–,–
Sultan ve Osmanlı Merkez Teşkilatı,–,–,–,–,1,–,–,–
Klasik Çağ’da Osmanlı Toplum Düzeni,–,–,2,–,–,–,–,–
Değişen Dünya Dengeleri Karşısında Osmanlı Siyaseti (1595-1774),–,–,–,–,1,–,–,–
Değişim Çağında Avrupa ve Osmanlı,–,1,1,1,–,1,–,–
Devrimler Çağında Değişen Devlet-Toplum İlişkileri,–,–,1,–,–,–,2,–
Uluslararası İlişkilerde Denge Stratejisi (1774-1914),1,1,–,1,–,1,–,2
20. Yüzyıl Başlarında Osmanlı Devleti ve Dünya,1,1,–,1,–,1,1,1
Millî Mücadele,1,2,3,1,2,3,2,2
Atatürkçülük ve Türk İnkılabı,1,1,1,2,1,–,1,1
II. Dünya Savaşı Sürecinde Türkiye ve Dünya,–,–,–,–,1,–,1,–
II. Dünya Savaşı Sonrasında Türkiye ve Dünya,1,–,–,–,–,–,–,–
Toplumsal Devrim Çağında Dünya ve Türkiye,–,–,–,–,–,–,–,1
21. Yüzyılın Eşiğinde Türkiye ve Dünya,1,–,–,–,–,–,–,–
Toplam,11,11,11,11,11,11,11,11
