KONULAR,2025,2024,2023,2022,2021,2020,2019,2018
Temel Kavramlar,3,1,2,3,3,1,4,4
Sayı Basamakları,1,2,1,1,2,1,2,1
Bölünebilme Kuralları,1,1,1,1,1,1,1,–
EBOB-EKOK,–,1,–,–,–,–,–,–
Rasyonel Sayılar,1,2,2,2,–,3,1,–
Basit Eşitsizlikler,1,–,3,1,1,1,–,1
Mutlak Değer,1,2,1,1,1,1,1,1
Üslü Sayılar,1,1,1,1,1,1,1,–
Köklü Sayılar,1,1,1,1,1,1,1,1
Çarpanlara Ayırma,–,–,–,–,–,–,–,1
Oran-Orantı,1,–,1,1,1,1,–,–
Denklem Çözme,1,–,1,–,2,–,1,2
Problemler,12,11,10,13,11,13,12,11
Kümeler,1,1,1,1,1,1,1,2
Mantık,1,1,1,1,1,–,–,–
Fonksiyonlar,1,1,1,1,1,2,2,1
Polinomlar,–,–,–,–,1,–,–,1
Permütasyon-Kombinasyon,1,3,1,–,–,2,1,1
Olasılık,1,1,1,1,1,1,1,2
Veri – İstatistik,1,1,1,1,1,–,1,–
TOPLAM SORU SAYISI,30,30,30,30,30,30,30,29
