KONULAR,2025,2024,2023,2022,2021,2020,2019,2018
Tarih ve Zaman,–,–,–,–,–,–,–,–
İlk ve Orta Çağlarda Türk Dünyası,1,1,1,1,1,1,1,1
İslam Medeniyetinin Doğuşu ve İlk İslam Devletleri,–,–,–,–,–,–,–,–
Türklerin İslamiyet’i Kabulü ve İlk Türk İslam Devletleri,1,1,1,1,1,1,1,1
Beylikten Devlete Osmanlı,1,–,–,1,–,–,1,1
Dünya Gücü Osmanlı,–,1,–,–,–,–,–,–
Değişim Çağında Avrupa ve Osmanlı,–,–,–,–,–,–,–,–
Uluslararası İlişkilerde Denge Stratejisi (1774-1914),–,–,1,–,1,1,–,1
XX. Yüzyıl Başlarında Osmanlı Devleti ve Dünya,–,–,–,–,–,1,–,1
Milli Mücadele,1,1,1,1,1,1,1,–
Atatürkçülük ve Türk İnkılabı,1,1,1,1,1,–,1,–
TOPLAM SORU SAYISI,5,5,5,5,5,5,5,5
